"id","ownerid","ageclassid","sexid","kreisid","quartierid"
14023,22950,3,2,11,"119"
28464,22950,3,2,11,"119"
36053,22950,3,2,11,"119"
43823,22950,3,2,11,"119"
52327,22950,3,2,11,"119"
222,22956,6,1,10,"101"
7134,22956,6,1,10,"101"
14024,22956,6,1,10,"101"
21125,22956,6,1,10,"101"
223,23054,10,2,10,"101"
7135,23054,10,2,10,"101"
14025,23054,10,2,10,"101"
21126,23054,10,2,10,"101"
28465,23054,10,2,10,"101"
36054,23054,10,2,10,"101"
43824,23054,10,2,10,"101"
52328,23054,10,2,10,"101"
224,23408,2,1,12,"122"
7136,23408,2,1,12,"122"
14026,23408,2,1,12,"122"
21127,23408,2,1,12,"122"
28466,23408,2,1,12,"122"
36055,23408,2,1,12,"122"
43825,23408,2,1,12,"122"
52329,23408,2,1,12,"122"
225,23493,10,1,11,"111"
7137,23493,10,1,11,"111"
14027,23493,10,1,11,"111"
21128,23493,10,1,11,"111"
28467,23493,10,1,11,"111"
36057,23493,10,1,11,"111"
43827,23493,10,1,11,"111"
52330,23493,10,1,11,"111"
226,23887,7,1,2,"24"
227,23887,7,1,2,"24"
228,23889,10,2,4,"42"
7139,23889,10,2,4,"42"
14029,23889,10,2,4,"42"
21131,23889,10,2,4,"42"
28469,23889,10,2,4,"42"
36060,23889,10,2,4,"42"
43831,23889,10,2,4,"42"
52334,23889,10,2,4,"42"
229,24014,3,2,12,"123"
7140,24014,3,2,12,"123"
14031,24014,3,2,12,"123"
21133,24014,3,2,12,"123"
28471,24014,3,2,12,"123"
230,24242,6,2,11,"119"
7141,24242,6,2,11,"119"
231,24246,3,1,10,"102"
7142,24246,3,1,10,"102"
28472,24246,3,1,10,"102"
36062,24246,3,1,10,"102"
43834,24246,3,1,10,"102"
52336,24246,3,1,10,"102"
232,40684,5,1,7,"74"
7143,40684,5,1,7,"74"
14032,40684,5,1,7,"74"
233,44439,5,1,7,"74"
21134,44439,5,1,7,"74"
28473,44439,5,1,7,"74"
36063,44439,5,1,7,"74"
43835,44439,5,1,7,"74"
234,54322,5,1,3,"33"
7144,54322,5,1,3,"33"
14033,54322,5,1,3,"33"
21135,54322,5,1,3,"33"
28475,54322,5,1,3,"33"
36064,54322,5,1,3,"33"
43836,54322,5,1,3,"33"
52337,54322,5,1,3,"33"
235,54926,7,1,2,"21"
7145,54926,7,1,2,"21"
14034,54926,7,1,2,"21"
236,55176,5,1,3,"34"
7146,55176,5,1,3,"34"
14035,55176,5,1,3,"34"
21136,55176,5,1,3,"34"
28476,55176,5,1,3,"34"
36065,55176,5,1,3,"34"
43837,55176,5,1,3,"34"
52338,55176,5,1,3,"34"
88,55835,10,2,8,"82"
237,55835,10,2,8,"82"
7147,55835,10,2,8,"82"
21138,55835,10,2,8,"82"
28478,55835,10,2,8,"82"
43839,55835,10,2,8,"82"
52340,55835,10,2,8,"82"
238,56084,10,2,7,"72"
7148,56084,10,2,7,"72"
239,60244,3,1,12,"122"
240,60397,3,1,7,"74"
7149,60397,3,1,7,"74"
14037,60397,3,1,7,"74"
241,60402,10,2,11,"111"
242,60402,10,2,11,"111"
7150,60402,10,2,11,"111"
7151,60402,10,2,11,"111"
14038,60402,10,2,11,"111"
14039,60402,10,2,11,"111"
21140,60402,10,2,11,"111"
21141,60402,10,2,11,"111"
28480,60402,10,2,11,"111"
28481,60402,10,2,11,"111"
36068,60402,10,2,11,"111"
43840,60402,10,2,11,"111"
52341,60402,10,2,11,"111"
243,61323,5,1,8,"81"
7152,61323,5,1,8,"81"
14040,61323,5,1,8,"81"
20747,61323,5,1,8,"81"
28482,61323,5,1,8,"81"
36069,61323,5,1,8,"81"
52342,61323,5,1,8,"81"
59755,61323,5,1,8,"81"
244,62389,5,1,8,"83"
7153,62389,5,1,8,"83"
14041,62389,5,1,8,"83"
21142,62389,5,1,8,"83"
28483,62389,5,1,8,"83"
36070,62389,5,1,8,"83"
43841,62389,5,1,8,"83"
52343,62389,5,1,8,"83"
245,62621,5,1,11,"111"
7154,62621,5,1,11,"111"
14042,62621,5,1,11,"111"
21143,62621,5,1,11,"111"
28484,62621,5,1,11,"111"
246,62628,10,1,7,"72"
7155,62628,10,1,7,"72"
14043,62628,10,1,7,"72"
21144,62628,10,1,7,"72"
28485,62628,10,1,7,"72"
36071,62628,10,1,7,"72"
247,63468,7,1,7,"74"
7156,63468,7,1,7,"74"
14044,63468,7,1,7,"74"
21145,63468,7,1,7,"74"
28486,63468,7,1,7,"74"
36072,63468,7,1,7,"74"
43842,63468,7,1,7,"74"
52344,63468,7,1,7,"74"
248,63704,5,1,10,"101"
7157,63704,5,1,10,"101"
14045,63704,5,1,10,"101"
21146,63704,5,1,10,"101"
28487,63704,5,1,10,"101"
36073,63704,5,1,10,"101"
43843,63704,5,1,10,"101"
52345,63704,5,1,10,"101"
249,64202,5,2,6,"63"
7158,64202,5,2,6,"63"
250,64444,10,1,7,"71"
7159,64444,10,1,7,"71"
14046,64444,10,1,7,"71"
21147,64444,10,1,7,"71"
28488,64444,10,1,7,"71"
36074,64444,10,1,7,"71"
251,64689,3,1,10,"101"
